Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1;1;CK Hutchison Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG217651051;ESVUFR;10,00;0,05;HKD;20.06.2022 0:00:00;;CK Hutchison Holdings Limited;НЕТ;Эмитенты с листингом в HKEX
2;101;Hang Lung Properties Limited;Акции;Акции иностранного эмитента обыкновенные;;HK0101000591;ESVUFR;100,00;0,01;HKD;05.12.2022 0:00:00;;Hang Lung Properties Limited;НЕТ;Эмитенты с листингом в HKEX
3;1024;Kuaishou Technology;Акции;Акции иностранного эмитента обыкновенные класса B;;KYG532631028;ESVUFR;10,00;0,05;HKD;12.10.2022 0:00:00;;Kuaishou Technology;НЕТ;Эмитенты с листингом в HKEX
4;1038;CK Infrastructure Holdings Limited;Акции;Акции иностранного эмитента обыкновенные;;BMG2178K1009;ESVUFR;10,00;0,05;HKD;05.12.2022 0:00:00;;CK Infrastructure Holdings Limited;НЕТ;Эмитенты с листингом в HKEX
5;1044;Hengan International Group Company Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG4402L1510;ESVUFR;10,00;0,05;HKD;05.12.2022 0:00:00;;Hengan International Group Company Limited;НЕТ;Эмитенты с листингом в HKEX
6;1055;China Southern Airlines Company Limited;Акции;Акции иностранного эмитента обыкновенные класса H;;CNE1000002T6;ESVUFB;100,00;0,01;HKD;08.02.2023 0:00:00;;China Southern Airlines Company Limited;НЕТ;Эмитенты с листингом в HKEX
7;1061;Essex Bio-Technology Limited;Акции;Акции иностранного эмитента обыкновенные;;KYG312371035;ESVUFR;100,00;0,01;HKD;26.01.2023 0:00:00;;Essex Bio-Technology Limited;НЕТ;Эмитенты с листингом в HKEX
8;1066;Shandong Weigao Group Medical Polymer Company Limited;Акции;Акции иностранного эмитента обыкновенные класса H;;CNE100000171;ESVUFB;100,00;0,02;HKD;08.02.2023 0:00:00;;Shandong Weigao Group Medical Polymer Company Limited;НЕТ;Эмитенты с листингом в HKEX
9;1088;China Shenhua Energy Company Limited;Акции;Акции иностранного эмитента обыкновенные класса H;;CNE1000002R0;ESVUFB;100,00;0,05;HKD;05.12.2022 0:00:00;;China Shenhua Energy Company Limited;НЕТ;Эмитенты с листингом в HKEX
10;1093;CSPC Pharmaceutical Group Limited;Акции;Акции иностранного эмитента обыкновенные;;HK1093012172;ESVUFR;100,00;0,01;HKD;12.10.2022 0:00:00;;CSPC Pharmaceutical Group Limited;НЕТ;Эмитенты с листингом в HKEX
